pred,true,score
sniestun,fmvmfthn,2
sginvevb,suiaveib,5
zkvwmlsd,zgvwmloh,5
yzhqhlic,lmhdulik,3
jflfzuhr,wfysmuhe,3
mfmmrdrd,zsmzrdny,3
dmomkwrq,dmozkwnh,5
bxrmwxwm,okrzvfse,1
evxvzwgd,evxvdwfu,5
oyqorbqe,blqbrozj,2
kefgljgb,xeftyjgo,4
lawkvqun,lnwkimwa,3
adhuvbxb,ndhuiobb,4
crxhzxgl,crxuzktt,4
vayrkwbc,imlekjos,1
qrfyuxuh,qrflhxfu,4
kjfufpgh,xwfhfpgv,4
uzxocrgc,umxbcrkx,4
vjfspuvr,vrfsysew,3
fkprkdqu,sxcexqqg,1
qrgpfzuc,detcsmfc,1
mxqyuwbe,zxdyuwbv,5
vgefjcvq,itrsjoik,1
zwdhkbup,mwdhkbyl,5
fcgaelad,fctaeyah,5
iqhswagc,vqhfjaxc,4
gxeofzlr,txebfmce,3
bnzqrpqa,oazqrczs,3
vdgpsklt,iqgcfklg,3
wkgrbfec,wxgebfrh,4
gcdqlroz,tcqdywbr,1
voqruqpn,voqrudca,5
gibebrrb,gvbebrnb,6
qowangbr,qbjantbj,4
dkwrcjvr,qxwepjrj,2
uoroebta,hbeoebga,4
xvppzebl,kippzeog,4
mxlqrhdg,mkldrudt,4
fbzjkykm,fbzjkpxe,5
yloippqk,lyoiccrk,3
bggogxwv,oggogxwi,6
nkmlfwun,nxmyfwha,4
dnutvneb,qahginnb,2
kmodfvyz,kzodfvpm,5
gjmgzjge,tjmgzjgj,6
esaqjvgv,rsnqjvgi,5
gggmggxc,tttztgoc,2
bgglzzhq,otgymzmh,2
adsnckyb,adfapklb,4
ygtltcgb,yttltcto,5
pdilzmun,cdiymmun,5
ugikbsla,ugixosls,5
mxvmzewe,mximzejj,5
ssjoyyea,sjjoylra,5
wnvhzxvh,wnvuzxwu,5
saerkxeg,szerkkeg,6
pbyiwqtm,caliwzki,2
yxlaxhhg,yxynxuut,3
ssrkjqin,swexwqin,4
bsjfzyta,bswfzlxa,5
gpmhhgvv,gpzuhtjv,4
dgqgjdqp,dgdgjqzl,4
hhcyzywy,hhclzywy,7
vbahisxc,ibnhisoc,5
uktdofva,hxgqbfra,2
kaqatqua,kaqntdhf,4
zozkdsgn,momkqstn,4
kfwwphdr,kfjwdhqw,4
bchizeqa,ochimezn,4
ydngvbyp,lqntvbly,3
aqxrcmua,nqxelzus,3
plpdcyxp,plcqcloc,3
vqilqqph,iqilddph,5
kypdvclz,xypdikpz,4
suwgoqua,sujgomys,4
lbtompeb,lbtbzcrf,3
pxmgkqiz,pxmgxdrm,4
guwikggd,tujittgi,3
phikcqtq,chvxcqxh,3
kgqmoxld,xtqzbxlh,3
wpoabtmq,jpoabtrq,6
ylkmgkra,lykzgkas,3
dkbocrgq,dxobcrgh,4
